Número de extracción;Fecha;Hora;Presión agua intercambiador (psi);Nivel de kathene acondicionador (in);Presión atomización en acondicionador (psi);Presión atomización en regenerador (psi);Caida de presión en filtros cambridge (in H2O);Caida de presión en acodicionador (in H2O);Caida de presión en regenerador (in H2O);Temperatura aire A (°C);Temperatura aire B (°C);Temperatura aire C (°C)
089;2019-04-12;0:00;3;12,3;4,5;0,2;0,20;1,90;0,50;34,7;35,5;47,9
089;2019-04-12;4:00;6;12,7;4,5;0,0;0,20;2,00;0,50;33,9;34,7;46,8
089;2019-04-12;8:00;8;12,1;4,5;0,2;0,20;1,90;0,50;34,6;34,6;47,0
089;2019-04-12;12:00;10;12,0;4,5;0,2;0,20;1,80;0,50;36,5;37,0;47,0
089;2019-04-12;15:00;0;12,5;4,5;0,2;0,20;1,90;0,50;36,8;37,6;49,3
090;2019-04-12;20:00;5;11,9;4,5;0,2;0,20;1,90;0,60;36,0;36,8;49,0
090;2019-04-13;0:00;8;12,0;4,5;0,2;0,20;1,00;1,30;35,1;35,7;48,2
090;2019-04-13;4:00;6;12,5;4,5;0,2;0,20;1,90;2,00;34,0;34,8;47,1
090;2019-04-13;7:00;5;12,7;4,5;0,2;0,22;1,90;1,10;34,4;35,2;47,5
090;2019-04-13;11:00;7;12,0;4,5;0,2;0,22;1,90;1,20;37,1;38,0;50,6
090;2019-04-13;15:00;5;12,3;4,5;0,2;0,20;2,00;0,60;35,7;36,7;48,4
091;2019-04-14;0:00;0;12,0;4,5;0,2;0,20;2,00;0,60;34,3;35,1;47,2
091;2019-04-14;4:00;0;12,0;4,5;0,2;0,21;1,90;0,60;33,8;34,7;55,0
091;2019-04-14;7:00;4;11,8;4,5;0,2;0,22;1,90;0,60;34,0;34,9;48,3
091;2019-04-14;12:00;6;12,3;4,5;0,2;0,22;1,90;0,60;35,8;36,7;48,9
091;2019-04-14;14:30;5;12,8;4,5;0,2;0,20;1,90;0,50;34,9;35,7;47,8
092;2019-04-15;0:00;8;12,2;4,5;0,2;0,20;1,90;0,60;33,5;36,0;49,0
092;2019-04-15;5:00;6;12,5;4,5;0,2;0,20;1,90;0,50;34,5;34,0;49,8
092;2019-04-15;7:00;8;12,7;4,5;0,2;0,22;1,90;0,60;33,4;34,3;46,1
092;2019-04-15;11:00;5;11,9;4,5;0,2;0,22;1,90;0,60;35,7;36,8;48,5
092;2019-04-15;18:00;8;27,0;4,5;0,2;0,22;1,90;0,60;34,8;35,7;47,5
093;2019-04-16;3:00;6;11,5;4,5;0,2;0,22;1,90;0,60;33,7;34,7;46,4
093;2019-04-16;16:00;3;12,7;4,6;0,2;0,22;1,90;0,50;36,0;37,2;49,2
093;2019-04-16;23:00;4;12,3;4,5;0,2;0,22;1,90;0,60;34,5;35,5;47,4
094;2019-04-17;5:00;7;11,9;4,5;0,2;0,22;1,90;0,60;34,0;34,9;46,7
094;2019-04-17;7:00;5;11,3;4,3;0,2;0,22;1,90;0,50;33,9;34,9;47,2
094;2019-04-18;4:00;8;12,7;4,0;0,2;0,22;1,90;0,60;33,9;34,7;47,1
095;2019-04-18;20:00;3;12,2;4,5;0,2;0,22;1,90;0,60;34,6;36,8;49,5
095;2019-04-19;0:00;0;12,0;4,5;0,2;0,22;1,90;0,50;34,3;35,1;47,2
095;2019-04-19;4:00;8;11,7;4,5;0,2;0,22;1,90;0,50;34,8;35,7;47,5
095;2019-04-19;7:00;10;12,8;4,4;0,2;0,22;2,00;0,60;34,5;35,3;46,8
096;2019-04-19;19:00;7;12,2;4,5;0,2;0,20;1,90;0,60;34,7;35,4;46,9
096;2019-04-19;23:00;7;12,5;4,5;0,2;0,23;1,90;0,50;34,3;34,6;47,0
096;2019-04-20;3:00;10;12,5;4,4;0,2;0,22;2,00;0,50;34,1;34,5;46,7
096;2019-04-20;8:00;6;12,2;4,5;0,2;0,30;1,80;0,50;36,0;37,0;49,0
096;2019-04-20;12:00;2;12,4;4,5;0,2;0,30;1,80;0,50;34,6;36,0;49,5
096;2019-04-20;15:00;2;11,9;4,5;0,2;0,24;1,90;0,60;34,9;35,8;47,6
097;2019-04-20;20:00;7;12,1;4,5;0,2;0,24;1,90;0,60;34,4;35,2;46,7
097;2019-04-21;0:00;4;12,2;4,4;0,2;0,22;1,90;0,50;34,4;35,1;47,0
097;2019-04-21;5:00;8;11,7;4,4;0,2;0,23;1,90;0,50;33,8;34,7;46,7
097;2019-04-21;7:00;8;12,4;4,4;0,2;0,22;1,90;0,60;33,5;34,3;46,1
097;2019-04-21;11:00;5;12,1;4,4;0,2;0,22;1,90;0,60;35,3;36,3;47,7
097;2019-04-21;14:30;5;12,6;4,5;0,2;0,22;1,90;0,60;34,6;35,3;47,5
098;2019-04-21;23:00;8;11,8;4,5;0,2;0,22;2,00;0,60;34,6;35,5;47,1
098;2019-04-22;7:00;7;12,4;4,5;0,2;0,22;1,90;0,60;33,5;34,1;45,9
098;2019-04-22;11:00;5;12,0;4,5;0,2;0,22;1,90;0,60;34,7;35,3;46,6
098;2019-04-22;15:00;5;12,4;4,5;0,2;0,22;2,00;0,50;34,7;35,3;47,5
099;2019-04-22;22:00;8;12,5;4,5;0,2;0,22;1,90;0,60;36,7;35,0;48,9
099;2019-04-23;5:00;2;12,5;4,4;0,2;0,30;1,80;0,60;36,0;37,0;49,0
099;2019-04-23;7:00;5;12,2;4,5;0,2;0,25;1,90;0,60;33,2;34,0;45,6
099;2019-04-23;11:00;5;12,4;4,5;0,2;0,23;1,90;0,60;35,6;36,7;48,1
099;2019-04-23;14:30;5;12,3;4,5;0,2;0,23;1,80;0,60;35,8;37,1;48,1
100;2019-04-24;0:00;3;12,7;4,5;0,2;0,25;1,90;0,50;34,1;34,8;46,8
100;2019-04-24;4:00;3;11,9;4,5;0,2;0,24;1,90;0,50;33,6;34,5;46,6
100;2019-04-24;6:30;8;12,1;4,5;0,2;0,22;1,90;0,60;33,8;34,7;46,3
101;2019-04-24;23:00;6;12,4;4,5;0,2;0,24;1,90;0,60;34,0;34,8;45,9
101;2019-04-25;3:00;4;11,9;4,5;0,2;0,24;1,90;0,60;33,3;34,0;45,3
101;2019-04-25;6:30;5;12,0;4,5;0,2;0,24;1,90;0,60;33,3;34,4;45,9
102;2019-04-26;7:00;7;11,7;4,3;0,2;0,23;2,00;0,50;33,7;34,6;46,3
102;2019-04-26;11:00;1;12,1;4,2;0,2;0,23;2,00;0,60;36,2;37,2;48,7
102;2019-04-26;16:00;8;12,4;4,5;0,2;0,30;1,90;0,50;36,7;37,0;49,0
102;2019-04-26;21:00;8;12,5;4,5;0,2;0,30;1,90;0,50;36,0;34,0;49,0
103;2019-04-27;7:00;3;12,6;4,4;0,2;0,23;2,00;1,00;34,6;35,2;47,5
103;2019-04-27;11:00;5;12,6;4,4;0,2;0,20;2,00;0,70;35,6;36,3;48,4
103;2019-04-27;15:00;4;11.8;4,5;0,2;0,22;1,90;0,60;34,8;35,5;47,1
103;2019-04-27;19:00;6;12,1;4,5;0,2;0,22;1,90;0,60;34,5;35,4;47,4
104;2019-04-28;3:00;5;12,7;4,3;0,2;0,23;2,00;0,50;34,3;35,1;46,5
104;2019-04-28;8:00;6;12,1;4,5;0,2;0,20;1,90;0,60;36,4;35,0;49,0
104;2019-04-28;12:00;10;12,6;4,5;0,2;0,20;1,80;0,80;35,6;36,0;49,0
104;2019-04-28;15:00;4;11,9;4,5;0,2;0,23;1,90;0,60;35,8;36,3;47,9
104;2019-04-28;19:00;5;12,1;4,5;0,2;0,23;1,90;0,60;35,6;36,3;47,9
105;2019-04-29;9:00;8;12,2;4,5;0,2;0,25;1,90;0,60;36,0;37,0;49,0
105;2019-04-29;13:00;10;13,0;4,5;0,2;0,25;1,90;0,50;36,7;37,0;49,5
105;2019-04-29;14:30;6;12,4;4,5;0,2;0,23;1,90;0,60;35,8;36,5;48,7
106;2019-04-30;15:00;7;12,9;4,5;0,2;0,25;1,80;0,70;35,5;36,3;47,2
106;2019-04-30;20:00;7;11,4;4,5;0,2;0,25;1,90;0,80;33,7;34,6;46,1
106;2019-04-30;23:00;8;11,9;4,4;0,2;0,25;1,90;0,80;32,6;33,5;45,4
106;2019-05-01;4:00;5;12,1;4,5;0,2;0,24;1,90;0,90;31,9;32,7;44,5
106;2019-05-01;7:00;4;11,8;4,5;0,2;0,23;1,90;0,80;32,2;33,1;45,0
106;2019-05-01;11:00;7;12,0;4,5;0,2;0,23;1,90;0,80;36,3;37,1;48,7
107;2019-05-01;23:00;6;12,7;4,5;0,2;0,25;1,90;1,10;34,8;35,4;47,1
107;2019-05-02;3:00;4;12,1;4,5;0,2;0,25;1,90;0,90;33,7;34,5;45,4
107;2019-05-03;7:00;7;12,5;4,5;0,2;0,25;1,90;1,00;33,9;34,5;46,6
107;2019-05-03;11:00;7;11,9;4,5;0,2;0,25;2,00;0,80;34,2;36,7;47,8
108;2019-05-03;0:00;6;12,2;4,5;0,2;0,25;1,90;0,80;34,5;35,1;46,8
108;2019-05-03;3:00;4;11,8;4,5;0,2;0,25;1,90;0,90;33,8;34,6;45,9
108;2019-05-03;7:00;6;11,9;4,5;0,2;0,25;1,80;0,70;34,1;34,9;46,6
108;2019-05-03;11:00;4;12,0;4,5;0,2;0,25;1,80;0,70;34,3;34,6;47,0
108;2019-05-03;15:00;3;12,6;4,5;0,2;0,24;1,90;0,60;36,0;36,7;48,7
109;2019-05-03;23:00;8;12,1;4,4;0,2;0,24;2,00;0,80;35,1;36,2;45,6
109;2019-05-04;4:00;7;12,4;4,4;0,2;0,25;1,90;0,70;34,4;34,9;47,1
109;2019-05-04;15:00;10;12,5;4,4;0,2;0,30;1,90;0,50;35,0;35,0;48,0
109;2019-05-04;20:00;3;12,1;4,5;0,3;0,30;1,80;0,50;36,0;35,8;49,0
110;2019-05-05;4:00;6;12,9;4,3;0,2;0,24;1,90;0,70;34,1;34,9;46,4
110;2019-05-05;7:00;5;12,5;4,5;0,2;0,25;1,90;0,60;34,7;35,3;47,7
110;2019-05-05;11:00;8;12,3;4,5;0,2;0,25;1,90;0,70;36,3;37,2;49,1
110;2019-05-05;15:00;5;12,2;4,5;0,2;0,25;1,90;0,70;37,5;38,3;50,0
110;2019-05-05;19:00;4;11,9;4,5;0,2;0,25;1,90;0,70;36,1;37,0;48,8
111;2019-05-06;8:00;8;12,0;4,4;0,2;0,25;1,90;0,70;35,6;36,2;48,5
111;2019-05-06;12:00;8;12,2;4,5;0,2;0,25;1,80;0,60;36,2;37,1;49,0
111;2019-05-06;15:00;8;12,9;4,5;0,2;0,24;1,90;0,60;37,3;38,1;49,8
111;2019-05-06;19:00;4;12,1;4,5;0,2;0,24;1,90;0,60;35,8;36,5;48,6
112;2019-05-07;4:00;6;12,3;4,4;0,2;0,25;1,90;0,70;34,1;35,1;47,6
112;2019-05-07;8:00;8;12,4;4,5;0,2;0,30;1,90;0,50;36,5;35,0;49,0
112;2019-05-07;12:00;10;12,6;4,5;0,2;0,30;1,90;0,60;37,6;35,0;51,0
112;2019-05-07;15:00;8;11,9;4,5;0,2;0,25;1,90;0,60;36,9;37,4;50,1
112;2019-05-07;19:00;4;12,2;4,5;0,2;0,25;1,90;0,60;35,8;36,1;48,2
113;2019-05-08;4:00;10;11,7;4,5;0,2;0,25;1,90;0,70;34,6;34,9;47,3
113;2019-05-08;7:00;8;12,2;4,5;0,2;0,25;1,90;0,70;33,8;34,1;46,4
113;2019-05-08;12:00;5;11,9;4,5;0,2;0,25;1,90;1,00;35,7;36,1;47,9
113;2019-05-08;15:00;6;12,9;4,5;0,2;0,25;1,90;0,80;35,7;36,1;47,9
114;2019-05-09;5:00;6;12,1;4,5;0,2;0,30;1,90;0,60;36,0;34,0;49,0
114;2019-05-09;7:00;4;11,9;4,5;0,2;0,25;1,90;0,60;34,0;34,4;46,9
114;2019-05-09;11:00;7;12,3;4,5;0,2;0,25;1,90;0,70;35,3;35,9;47,5
114;2019-05-09;16:00;7;12,6;4,5;0,2;0,25;1,80;0,60;35,2;35,4;48,6
114;2019-05-09;23:00;4;12,2;4,5;0,2;0,25;1,90;0,60;34,8;35,1;46,9
114;2019-05-10;3:00;6;12,5;4,5;0,2;0,25;1,90;0,80;33,6;33,8;46,6
115;2019-05-10;9:00;5;13,1;4,5;0,2;0,25;1,90;1,00;34,5;34,9;47,4
115;2019-05-10;15:00;9;12,7;4,5;0,2;0,25;1,90;0,70;34,8;35,3;48,3
115;2019-05-10;19:00;10;11,9;4,4;0,2;0,25;1,80;0,70;34,7;35,2;48,2
115;2019-05-10;23:00;8;12,2;4,5;0,2;0,25;1,80;0,70;33,8;34,2;47,0
115;2019-05-11;3:00;8;12,5;4,5;0,2;0,25;1,80;0,70;33,1;33,6;46,2
116;2019-05-11;13:00;7;12,2;4,5;0,2;0,19;1,80;0,80;35,6;36,0;48,7
116;2019-05-11;16:00;3;12,6;4,4;0,2;0,35;1,80;0,60;35,6;35,9;49,0
116;2019-05-11;20:00;3;12,4;4,4;0,2;0,35;1,90;0,90;35,3;35,8;48,8
117;2019-05-12;15:00;8;12,0;4,5;0,2;0,30;1,90;0,60;36,5;36,0;48,0
117;2019-05-12;20:00;6;12,9;4,5;0,2;0,30;1,90;0,40;34,0;37,0;48,0
117;2019-05-13;3:00;4;13,1;4,3;0,2;0,30;1,90;0,00;36,2;36,6;49,5
117;2019-05-13;7:00;6;13,7;4,5;0,2;0,26;1,90;0,00;36,7;36,8;50,2
117;2019-05-13;11:00;2;12,2;4,2;0,2;0,35;1,90;0,70;35,6;35,9;49,1
118;2019-05-13;23:00;6;12,0;4,2;0,2;0,35;1,90;0,70;34,9;35,4;48,5
118;2019-05-14;5:00;6;12,0;4,5;0,2;0,35;1,90;0,70;34,1;34,6;47,4
118;2019-05-14;7:00;7;12,5;4,4;0,2;0,35;1,80;0,70;34,7;35,3;48,1
118;2019-05-14;11:00;12;11,9;4,4;0,2;0,35;1,90;0,70;35,2;35,8;48,8
119;2019-05-15;6:00;6;12,8;4,2;0,2;0,28;1,90;0,70;34,3;34,8;47,8
119;2019-05-15;12:00;6;11,8;4,5;0,2;0,28;1,90;0,60;34,2;34,6;47,5
119;2019-05-15;15:00;4;12,3;4,3;0,2;0,15;1,90;0,80;35,0;35,5;48,4
119;2019-05-15;19:00;4;12,0;4,3;0,2;0,15;1,90;0,70;34,5;35,1;48,0
120;2019-05-16;7:00;4;12,4;4,3;0,2;0,15;1,90;0,70;34,8;35,0;48,0
120;2019-05-16;11:00;4;12,8;4,3;0,2;0,15;1,90;0,70;35,4;35,5;48,7
120;2019-05-16;15:00;5;12,1;4,3;0,2;0,15;1,90;0,80;35,2;35,8;48,8
120;2019-05-16;20:00;6;11,8;4,3;0,2;0,15;1,90;0,70;34,8;34,6;48,2
121;2019-05-17;8:00;5;12,2;4,3;0,2;0,15;1,90;0,70;34,1;34,6;47,4
121;2019-05-17;12:00;4;12,6;4,3;0,2;0,15;1,90;0,70;34,8;34,9;47,6
121;2019-05-17;15:00;1;12,1;4,3;0,2;0,15;1,90;0,70;35,5;35,8;48,4
121;2019-05-17;19:00;10;12,0;4,3;0,2;0,15;1,90;0,70;34,8;34,9;47,3
121;2019-05-17;23:00;7;12,3;4,3;0,2;0,15;1,90;0,70;34,5;34,6;47,1
121;2019-05-18;3:00;4;12,6;4,3;0,2;0,15;1,90;0,70;33,4;33,6;46,5
122;2019-05-18;12:00;4;12,5;4,2;0,2;0,15;1,90;0,90;36,6;49,2;50,3
122;2019-05-18;16:00;3;12,4;4,3;0,2;0,15;1,90;1,10;35,5;35,3;49,2
122;2019-05-18;20:00;4;12,4;4,2;0,2;0,15;1,90;1,00;35,3;35,3;49,0
122;2019-08-18;23:00;5;12,2;4,3;0,2;0,15;1,90;1,00;35,0;35,1;47,6
122;2019-05-19;3:00;7;12,8;4,3;0,2;0,15;1,90;1,20;34,0;34,2;47,0
122;2019-05-19;7:00;5;11,6;4,3;0,2;0,15;1,90;1,50;34,3;34,6;47,6
123;2019-05-19;23:00;4;11,6;4,3;0,2;0,16;1,90;1,40;34,7;34,7;47,3
123;2019-05-20;3:00;7;12,2;4,3;0,2;0,16;1,90;1,00;34,0;34,1;46,8
123;2019-05-20;7:00;5;11,9;4,3;0,2;0,16;1,90;1,10;34,5;34,6;47,6
124;2019-05-20;23:00;0;12,5;4,3;0,2;0,16;1,90;1,10;34,9;34,8;48,3
124;2019-05-21;6:00;7;11,9;4,2;0,2;0,16;1,90;1,30;33,9;34,0;47,3
124;2019-05-21;11:00;11;11,8;4,3;0,2;0,16;1,90;0,70;35,5;35,7;49,1
125;2019-05-21;23:00;4;11,0;4,3;0,2;0,16;1,80;0,90;35,8;35,9;48,5
125;2019-05-22;3:00;4;12,1;4,3;0,2;0,16;1,90;1,00;33,7;34,1;46,8
125;2019-05-22;7:00;6;12,8;4,4;0,2;0,15;2,00;1,00;34,4;34,5;48,1
125;2019-05-22;11:00;11;11,4;4,3;0,2;0,16;1,90;0,70;35,8;36,2;49,5
125;2019-05-22;15:00;4;12,3;4,3;0,2;0,16;1,90;0,80;35,4;35,7;48,7
125;2019-05-22;19:00;4;11,9;4,3;0,2;0,16;1,90;0,80;35,0;35,2;48,1
126;2019-05-23;2:00;9;11,3;4,4;0,2;0,16;1,90;0,80;35,3;35,5;48,8
126;2019-05-23;5:00;7;12,2;4,3;0,2;0,16;1,90;0,80;34,7;35,0;48,0
126;2019-05-23;9:00;3;12,0;4,3;0,2;0,16;1,90;0,80;34,6;34,7;49,9
126;2019-05-23;12:00;7;12,6;4,3;0,2;0,15;1,90;0,70;34,2;34,4;47,9
126;2019-05-23;15:00;5;12,0;4,3;0,2;0,16;1,90;0,80;35,0;35,3;48,3
126;2019-05-23;19:00;4;12,6;4,2;0,2;0,16;1,90;0,70;34,4;34,6;47,9
127;2019-05-24;7:00;6;12,2;4,2;0,2;0,16;1,90;0,80;34,2;34,4;47,5
127;2019-05-24;11:00;4;11,9;4,2;0,2;0,16;1,90;0,80;35,7;36,0;49,0
127;2019-05-24;15:00;4;11,4;4,2;0,2;0,16;1,90;0,80;34,6;34,5;48,3
128;2019-05-25;7:00;7;12,4;4,2;0,2;0,16;1,90;0,80;33,8;34,0;47,1
128;2019-05-25;12:00;4;12,0;4,2;0,2;0,16;1,90;0,70;35,2;35,4;48,4
128;2019-05-25;15:00;6;12,0;4,2;0,2;0,16;1,90;0,90;35,5;35,7;48,7
128;2019-05-25;23:00;4;12,2;4,2;0,2;0,16;1,90;0,80;34,7;34,9;47,9
128;2019-05-26;3:00;8;11,8;4,2;0,2;0,16;1,90;0,80;34,1;34,2;47,0
129;2019-05-26;7:00;6;12,9;4,3;0,2;0,15;1,90;0,70;34,0;34,2;47,3
129;2019-05-26;13:00;8;13,0;4,2;0,2;0,16;1,90;0,80;35,4;35,7;48,4
129;2019-05-26;16:00;2;11,1;4,4;0,2;0,16;1,80;0,80;36,0;36,1;49,5
129;2019-05-26;20:00;6;11,2;4,2;0,2;0,16;1,90;0,80;35,6;35,6;49,0
129;2019-05-26;23:00;4;12,3;4,2;0,2;0,16;1,90;0,80;35,0;35,1;48,0
129;2019-05-27;3:00;5;12,0;4,2;0,2;0,16;1,90;0,70;34,3;34,5;47,5
130;2019-05-27;12:00;6;11,7;4,2;0,2;0,16;1,80;0,80;35,1;35,5;48,3
130;2019-05-27;17:00;7;12,5;4,2;0,2;0,16;1,90;0,80;36,0;36,1;49,5
130;2019-05-27;20:00;5;11,9;44,0;0,2;0,16;1,90;0,70;34,6;34,8;48,5
130;2019-05-27;23:00;4;12,3;4,2;0,2;0,16;1,80;0,70;34,4;34,5;47,9
130;2019-05-28;3:00;4;11,8;4,2;0,2;0,16;1,80;0,80;34,1;34,2;47,5
131;2019-05-08;15:00;10;11,3;4,3;0,1;0,16;1,90;0,80;34,7;34,9;48,3
131;2019-05-28;21:00;9;11,4;4,2;0,1;0,16;1,90;0,80;34,7;34,8;48,3
131;2019-05-29;1:00;4;12,4;4,4;0,2;0,18;1,90;0,70;33,9;33,8;47,6
132;2019-05-29;13:00;12;11,2;4,4;0,2;0,18;1,90;0,70;35,7;36,0;48,5
132;2019-05-29;16:00;7;12,2;4,3;0,2;0,19;2,00;0,70;35,4;35,6;48,6
132;2019-05-29;20:00;8;12,2;4,2;0,2;0,19;1,90;0,80;34,6;34,9;47,6
132;2019-05-30;1:00;6;12,3;4,2;0,2;0,19;1,90;0,60;34,4;34,5;47,5
133;2019-05-30;15:00;5;12,0;4,2;0,2;0,18;1,90;0,80;35,0;35,3;47,8
133;2019-05-30;19:00;4;12,3;4,2;0,2;0,18;1,90;0,80;34,6;34,8;47,5
133;2019-05-30;23:00;4;12,9;4,4;0,1;0,18;2,00;0,70;33,8;33,9;47,5
133;2019-05-31;4:00;9;11,6;4,2;0,1;0,19;1,90;0,80;33,4;33,5;46,9
133;2019-05-31;7:00;10;11,9;4,2;0,1;0,19;2,00;0,80;34,1;34,2;47,5
134;2019-05-31;15:00;4;12,4;4,2;0,2;0,18;1,90;0,80;35,2;35,4;48,2
134;2019-05-31;19:00;2;12,2;4,2;0,2;0,18;1,90;0,70;34,7;34,8;47,8
134;2019-05-31;23:00;3;11,8;4,3;0,1;0,19;2,00;0,80;34,6;34,6;47,9
134;2019-06-01;4:00;2;11,9;4,2;0,1;0,18;2,00;0,60;34,3;34,2;47,8
134;2019-06-01;7:00;4;12,3;4,2;0,1;0,18;1,90;0,70;34,1;34,1;47,5
134;2019-06-01;11:00;2;12,0;4,2;0,1;0,18;1,90;0,70;34,9;35,0;48,0
135;2019-06-01;20:00;2;11,9;4,2;0,1;0,19;2,00;0,70;34,6;34,4;47,9
135;2019-06-01;0:00;5;12,0;4,2;0,1;0,19;2,00;0,70;34,5;34,8;48,0
135;2019-06-02;4:00;6;13,0;4,2;0,1;0,19;1,90;0,70;33,2;33,3;46,4
135;2019-06-02;7:00;4;12,3;4,2;0,1;0,19;1,90;0,70;33,8;34,0;47,0
135;2019-06-02;11:00;5;11,9;4,2;0,1;0,18;1,90;0,80;34,5;34,7;47,8
136;2019-06-02;23:00;6;11,3;4,2;0,1;0,20;1,90;0,80;34,2;34,2;47,1
136;2019-06-03;4:00;6;11,8;4,2;0,1;0,19;1,90;0,70;33,8;33,8;47,2
136;2019-06-03;8:00;3;11,8;4,2;0,1;0,19;1,90;0,70;35,1;35,2;48,7
136;2019-06-03;12:00;5;12,0;4,2;0,1;0,19;1,90;0,80;36,2;36,5;49,8
137;2019-06-03;23:00;5;12,2;4,2;0,1;0,18;1,90;0,70;34,7;34,9;47,2
137;2019-06-04;3:00;6;11,9;4,4;0,1;0,18;1,90;0,80;33,8;33,9;46,8
137;2019-06-04;7:00;6;11,9;4,2;0,1;0,18;1,90;0,70;33,9;34,0;47,4
137;2019-06-04;12:00;5;12,2;4,3;0,1;0,19;1,90;0,70;35,8;36,2;49,3
137;2019-06-04;15:00;1;11,0;4,1;0,2;0,20;1,90;0,80;36,9;37,4;50,2
138;2019-06-05;0:00;4;12,0;4,2;0,1;0,18;1,90;0,80;35,1;35,3;48,1
138;2019-06-05;3:00;4;12,3;4,2;0,1;0,19;1,90;0,70;34,4;34,5;47,5
138;2019-06-05;7:00;5;11,4;4,3;0,1;0,20;1,90;0,80;35,9;36,2;49,2
138;2019-06-05;15:00;2;11,5;4,2;0,2;0,20;1,90;0,80;36,2;36,8;48,8
139;2019-06-06;5:00;2;12,1;4,4;0,2;0,19;1,90;0,60;34,7;35,1;47,5
139;2019-06-06;8:00;9;11,8;4,4;0,1;0,20;1,90;0,80;24,5;35,1;47,0
139;2019-06-06;15:00;8;12,0;4,5;0,1;0,20;1,90;0,80;36,0;35,5;49,0
139;2019-06-06;20:00;6;12,0;4,4;0,1;0,19;1,90;0,80;35,0;34,6;48,0
140;2019-06-07;7:00;1;11,5;4,2;0,1;0,19;1,90;0,70;35,4;35,9;48,1
140;2019-06-07;11:00;0;11,6;4,2;0,1;0,19;1,90;0,60;35,6;36,0;48,5
140;2019-06-07;14:30;2;12,0;4,2;0,1;0,19;1,90;0,70;35,0;35,6;47,6
140;2019-06-07;19:00;4;12,4;4,2;0,1;0,19;1,90;0,70;34,6;35,0;47,3
141;2019-06-08;4:00;2;11,5;4,2;0,1;0,19;1,90;0,70;34,4;34,9;47,2
141;2019-06-08;8:00;9;11,9;4,2;0,1;0,19;1,90;0,70;34,8;35,5;47,8
141;2019-06-08;15:00;2;12,4;4,3;0,1;0,19;1,90;0,80;36,8;37,5;49,2
141;2019-06-08;19:00;4;12,1;4,3;0,1;0,19;1,90;0,70;35,9;36,2;48,3
142;2019-06-09;6:30;6;12,3;4,3;0,1;0,19;1,90;0,70;35,0;35,2;47,0
142;2019-06-09;12:00;4;12,0;4,3;0,1;0,19;1,90;0,70;36,5;37,0;48,8
142;2019-06-09;15:00;5;11,2;4,4;0,1;0,19;1,90;0,90;36,7;37,0;48,8
142;2019-06-09;20:00;2;11,5;4,4;0,1;0,19;1,90;1,20;36,1;36,5;48,9
143;2019-06-10;4:00;3;10,4;4,2;0,2;0,20;1,90;0,60;35,4;35,9;48,1
143;2019-06-10;6:30;4;11,8;4,3;0,2;0,19;1,90;1,00;35,7;36,0;48,3
143;2019-03-10;12:00;2;12,1;4,3;0,1;0,19;1,90;0,90;36,6;37,0;48,7
143;2019-06-10;15:00;5;12,5;4,2;0,1;0,20;1,90;1,20;35,5;36,0;47,9
143;2019-03-10;20:00;2;12,3;4,2;0,1;0,20;1,90;0,80;34,9;35,8;47,5
143;2019-06-11;0:00;8;12,0;4,2;0,1;0,20;1,90;0,80;36,5;34,9;48,0
144;2019-06-11;5:00;8;12,2;4,2;0,1;0,20;1,90;0,80;36,0;34,9;49,0
144;2019-06-11;8:00;4;12,0;4,3;0,1;0,19;1,90;0,90;35,8;36,1;48,5
144;2019-06-11;12:00;2;12,4;4,3;0,1;0,20;1,90;0,90;36,0;36,3;48,6
144;2019-06-11;15:00;2;11,8;4,2;0,1;0,20;1,90;0,90;36,1;36,5;48,7
144;2019-06-11;20:00;5;11,9;4,2;0,1;0,20;1,90;0,90;35,2;35,5;48,1
144;2019-06-11;23:00;4;12,2;4,3;0,1;0,20;1,90;0,80;34,8;35,0;47,6
145;2019-06-12;3:00;6;11,8;4,3;0,1;0,20;1,90;1,00;34,5;34,8;47,5
145;2019-06-12;7:00;2;12,6;4,3;0,1;0,20;1,90;0,90;35,1;34,7;47,3
145;2019-06-12;12:00;5;11,6;4,3;0,1;0,20;2,00;0,90;35,0;35,5;47,8
145;2019-06-12;22:30;2;12,1;4,3;0,1;0,20;1,90;0,90;34,6;34,7;47,3
145;2019-06-13;2:00;4;11,9;4,3;0,1;0,20;1,90;0,90;34,5;34,7;47,1
146;2019-06-13;7:00;2;12,1;4,3;0,1;0,20;1,90;0,70;35,1;35,3;47,3
146;2019-06-13;15:00;3;12,4;4,3;0,2;0,20;1,90;0,70;35,6;36,1;48,5
146;2019-06-13;12:00;0;11,2;4,3;0,1;0,20;1,90;0,90;36,1;36,7;48,9
146;2019-06-13;2:00;3;11,8;4,3;0,1;0,20;1,90;0,60;35,1;34,8;46,9
147;2019-06-14;15:00;4;12,6;4,2;0,1;0,20;1,90;0,90;35,6;35,0;46,0
147;2019-06-14;20:00;2;11,8;4,3;0,2;0,20;1,90;0,80;36,4;35,6;45,0
147;2019-06-14;23:00;3;12,3;4,3;0,2;0,20;1,90;0,70;35,1;36,5;46,8
147;2019-06-15;4:00;2;11,5;4,3;0,1;0,20;1,90;0,90;34,9;35,3;46,1
148;2019-06-15;14:30;2;11,1;4,2;0,1;0,21;1,90;0,80;36,6;37,1;49,2
148;2019-06-15;20:00;2;12,3;4,2;0,1;0,21;1,90;0,80;35,7;36,0;48,1
148;2019-06-16;2:00;1;11,4;4,3;0,1;0,20;1,90;0,80;34,5;34,9;47,2
