Fecha;Temperatura condensador (°C);Temperatura salida licor intercambiador (°F);Temperatura licor pierna separador (°C);Temperatura de licor pesado salida preenfriador (°C);Presión de vapor calderas (psi);Presión en bomba de vacío (in Hg)
2/20/2020 12:12 PM;61;204;61,2;40;110;21
2/20/2020 4:00 PM;60;208;60;40;100;21
2/20/2020 9:00 PM;30;202;61;43;95;22
2/20/2020 9:00 PM;61;204;61;43;110;21
2/21/2020 1:00 AM;59;200;59;41;110;21
2/21/2020 3:00 AM;60;200;61;43;105;20
2/21/2020 3:07 AM;56;174;56,3;39;115;20,8
2/21/2020 7:00 AM;57;188;57;40;105;21
2/21/2020 7:00 PM;65;210;66,1;42;102;20
2/21/2020 10:14 PM;66;212;66,1;38;112;21,7
2/22/2020 1:29 PM;66;206;66;40;110;21
2/22/2020 3:00 PM;55;188;56;41;110;22
2/22/2020 7:00 PM;55;184;56;41;110;22
2/23/2020 12:00 AM;61;198;61;41;110;21
2/23/2020 5:31 AM;61;210;61;41;95;21
2/24/2020 7:00 AM;61;210;62,5;38;108;20
2/23/2020 3:00 PM;56;198;58;42;110;21
2/23/2020 7:00 PM;58;200;59;40;100;22
2/23/2020 11:00 PM;60;204;60;41;95;20,5
2/24/2020 5:00 AM;61;206;61;41;105;20,5
2/24/2020 7:00 AM;60;180;59;41;85;20
2/24/2020 11:00 AM;63;210;63;39;106;20
2/24/2020 3:08 PM;60;208;60,1;36;100;21,8
2/24/2020 7:08 PM;58;196;59,5;40;105;21,5
2/24/2020 11:00 PM;59;196;60;41;103;20
2/25/2020 5:00 AM;60;200;61;40;105;20
2/25/2020 7:47 AM;60;200;60;40;105;21
2/25/2020 5:51 PM;58;198;59,5;40;108;21,5
2/25/2020 11:00 PM;58,9;197;59;41;105;20
2/26/2020 4:00 AM;60;205;61;40;105;20
2/26/2020 7:00 AM;60;200;61;40;100;22
2/26/2020 11:00 AM;61;200;62;40;100;22
2/26/2020 1:59 PM;64;206;64,2;40;110;21
2/26/2020 7:18 PM;61;210;61,3;40;116;20,8
2/26/2020 11:00 PM;61;200;62;40;100;22
2/27/2020 3:00 AM;52;164;53;40;110;22
2/27/2020 6:11 AM;54;170;54,4;41;115;21
2/27/2020 10:26 AM;52;170;53;40;115;21,7
2/27/2020 3:00 PM;55;178;55;40;110;21
2/28/2020 3:00 AM;52;160;53;39;110;22
2/28/2020 6:17 AM;53;162;53,3;40;115;21,4
2/28/2020 11:00 AM;62;200;62,6;41,4;110;22
2/28/2020 3:00 PM;55;170;55;41;115;21
2/29/2020 12:16 AM;62;207;62,3;37;110;21,4
2/29/2020 4:07 AM;54;180;54,4;43;105;21,3
2/29/2020 7:27 AM;55;178;55;42;110;21,5
2/29/2020 11:36 AM;54;164;54;41;110;21,5
2/29/2020 3:00 PM;58;170;54;42;105;20
2/29/2020 6:00 PM;64;190;63;41,4;105;20
3/1/2020 1:02 AM;63;204;63,3;40;110;20
3/1/2020 5:36 AM;54;176;54,4;42;112;21
3/1/2020 9:30 AM;53;170;53;43;110;21,5
3/1/2020 12:30 PM;57;180;57;44;110;22
3/1/2020 3:00 PM;56;180;57;42;110;22
3/1/2020 7:00 PM;52;160;53;39;110;22
3/2/2020 1:33 AM;53;154;53,3;41;112;21
3/2/2020 7:00 AM;30;180;58;42;105;21,5
3/2/2020 7:22 AM;58;188;58;42;100;21
3/2/2020 3:00 PM;59;186;60;40;100;22
3/2/2020 7:00 PM;60;186;61;42;100;22
3/3/2020 3:19 AM;57;180;57;41;100;21
3/3/2020 7:00 AM;53;175;53,4;41;105;20
3/3/2020 11:00 AM;54;165;54,4;42,6;110;20
3/3/2020 3:00 PM;56;180;57;42;100;22
3/4/2020 7:00 AM;52;160;53;39;100;22
3/4/2020 11:00 AM;62;200;64;41;100;20
3/4/2020 2:12 PM;58;184;58,3;43;107;21,6
3/4/2020 7:07 PM;57;184;57,4;44;108;21,5
3/4/2020 11:00 PM;62;210;62,7;44;110;20
3/5/2020 7:00 AM;62;184;63;42;100;20
3/5/2020 11:00 AM;55;160;56;40;110;22
3/5/2020 2:25 PM;54;168;54;41;110;22,3
3/5/2020 7:01 PM;54;154;54,8;41;113;21,2
3/5/2020 11:00 PM;56;180;57;39;100;22
3/3/2020 12:00 PM;30;190;59;42;110;22
3/6/2020 3:15 AM;53;162;53;40;110;21
3/6/2020 7:20 AM;60;193;60,3;41;110;21
3/6/2020 11:39 AM;61;200;61,4;41;114;21,9
3/6/2020 9:18 PM;61;200;61;41;110;21
3/6/2020 11:00 PM;57;190;58;40;100;22
3/7/2020 7:15 AM;59;180;59,8;41;96;21,6
3/7/2020 11:52 AM;52;160;52,3;41;110;21,9
3/7/2020 10:19 PM;52;164;52,8;40;110;21,9
3/8/2020 3:04 AM;61;202;61,8;40;100;21
3/8/2020 3:00 PM;58;175;59;42;110;20
3/8/2020 7:00 PM;58;192;59;42;110;20
3/8/2020 10:12 PM;60;184;60,8;43;109;21,6
3/9/2020 3:18 AM;52;164;52,4;42;110;21,7
3/9/2020 6:15 AM;61;200;61;41;100;21
3/9/2020 7:00 PM;56;180;56,4;43;110;20
3/9/2020 9:58 PM;56;163;56,4;42;110;22
3/10/2020 3:24 AM;48;158;50,1;42;106;21,7
3/10/2020 3:00 PM;58;170;59;41;110;22
3/10/2020 10:57 PM;52;160;52;42;115;21,5
3/11/2020 5:14 AM;58;184;58;42;105;21
3/11/2020 7:00 AM;54;176;55,8;43;110;20
3/11/2020 8:33 AM;64;209;64,4;42;110;20,5
3/11/2020 11:00 AM;63;204;63,7;42;106;20
3/11/2020 7:00 PM;63;210;64;40;100;20
3/12/2020 3:10 AM;54;160;54;42,6;100;20
3/12/2020 7:00 AM;54;172;55;42;110;20
3/12/2020 11:00 AM;57;180;56;40;110;20
3/12/2020 2:09 PM;56;170;56,6;40;110;20,4
3/12/2020 11:00 PM;63,6;200;63;40;110;20
3/13/2020 5:00 AM;64;210;64,4;43;108;20
3/13/2020 7:00 AM;63;210;64;42;110;20
3/13/2020 11:00 AM;56;176;57;39;110;22
3/13/2020 2:20 PM;58;180;58,9;39;112;21
3/13/2020 6:59 PM;63;206;63,8;39;110;20
3/13/2020 11:00 PM;62;192;61;40;110;20
3/14/2020 3:00 AM;64;210;65;41;100;20
3/14/2020 6:13 AM;63;208;63,8;41;105;20
3/14/2020 11:18 AM;61;196;61,8;43;110;21
3/14/2020 4:32 PM;60;194;60;41;100;21
3/15/2020 3:00 AM;58;200;59;38;110;21
3/15/2020 6:02 AM;61;202;62,4;40;112;20,2
3/15/2020 11:28 AM;58;156;58,6;40;110;20
3/15/2020 4:00 PM;57;164;57;41,4;115;20,5
3/15/2020 11:00 PM;60;196;61;40;100;20
3/16/2020 6:11 AM;60;202;60,7;39;110;20
3/16/2020 11:05 AM;62;200;62,6;40;110;20
3/16/2020 4:00 PM;54;154;54;42,8;110;20
3/16/2020 8:00 PM;55;174;55;43;110;21
3/16/2020 10:18 PM;63;208;63,8;42;110;20
3/17/2020 1:00 PM;60;196;60;41;110;21
3/17/2020 7:00 PM;62;193;62,7;43;110;20
3/18/2020 3:00 AM;64;209;64;40;102;20
3/11/2020 7:00 PM;63;205;64;40;105;20
3/18/2020 11:00 AM;63;206;64;41;100;21
3/18/2020 11:00 PM;58;184;59;40;105;20
3/19/2020 3:00 AM;58;181;58;40;105;20
3/19/2020 7:00 AM;61;194;62;41;110;20
3/19/2020 3:00 PM;64;210;65;41;110;21
3/19/2020 8:43 PM;62;200;62;41,4;115;21
3/20/2020 12:26 AM;53;160;53;43;115;21
3/20/2020 5:16 AM;56;204;56;43;115;20,5
3/20/2020 6:09 AM;64;202;64,5;43;115;21
3/20/2020 12:42 PM;62;204;62,5;39;100;20,4
3/20/2020 7:00 PM;59;196;60;40;100;20
3/20/2020 11:00 PM;59;186;60;40;110;22
3/21/2020 3:00 AM;51;164;52;40;85;22
3/21/2020 6:20 AM;52;162;52,8;40;110;21
3/21/2020 12:48 PM;63;205;63,8;41;110;21
3/21/2020 11:00 PM;57;184;58;39;110;22
3/22/2020 3:00 AM;59;196;60;40;110;22
3/22/2020 7:00 AM;64;210;64;40;105;20
3/22/2020 11:00 AM;64;196;64,5;39;110;20
3/22/2020 8:55 PM;61;210;61,8;38;110;20
3/23/2020 1:11 AM;59;196;60,3;39;110;20,9
3/23/2020 7:00 AM;56;192;57;39;110;20
3/23/2020 11:00 AM;53;167;54;40;110;20
3/23/2020 3:00 PM;60;194;62,3;39;110;20
3/23/2020 7:12 PM;62;208;62,8;40;110;20,5
3/24/2020 1:03 AM;57;188;57,4;40;110;21
3/24/2020 7:50 AM;55;182;56;40;110;21
3/24/2020 1:22 PM;65;204;65;40;110;21
3/24/2020 11:00 PM;58;186;59;40;110;20
3/25/2020 5:00 AM;62;192;64;39;110;20
3/25/2020 7:00 AM;61;200;62;41;110;21
3/25/2020 11:00 AM;63;204;64;39;110;22
3/25/2020 3:00 PM;63;210;64;41;110;22
3/25/2020 11:00 PM;60;172;61;40;106;20
3/26/2020 5:00 AM;62;182;53;39;105;20
3/26/2020 7:00 AM;54;164;55;40;110;22
3/26/2020 11:00 AM;54;164;55;41;110;22
3/26/2020 8:00 PM;57;184;57;40;105;21,5
3/27/2020 3:11 AM;55;176;55;40;110;21
3/27/2020 6:24 AM;53;170;53,8;40;112;21
3/27/2020 2:13 PM;55;156;55,9;40;110;21
3/27/2020 7:00 PM;57;180;58;40;110;22
3/28/2020 6:13 AM;53;168;54,3;39;112;21
3/28/2020 4:03 PM;55;166;55,4;40;105;21
3/28/2020 7:00 PM;61;198;62;40;95;22
3/22/2020 3:00 PM;60;165;59,8;40;110;20
3/29/2020 3:00 AM;55;162;56;40;110;22
3/29/2020 7:00 AM;58;158;54;39;110;20
3/29/2020 11:00 AM;56;164;60;40;110;20
3/29/2020 7:00 PM;57;180;58;40;100;22
3/30/2020 3:00 AM;55;172;56;40;110;22
3/30/2020 7:00 AM;52;164;53,8;41;110;20
3/30/2020 11:00 AM;53;152;53;41;108;20
3/30/2020 3:00 PM;54;154;55;39;105;20
3/30/2020 6:23 PM;54;156;54,9;40;109;21
3/31/2020 1:42 AM;55;156;55;40;110;21
3/31/2020 8:15 AM;54;160;54;39;110;20,5
3/31/2020 12:00 PM;54;152;54;42;115;20
3/31/2020 7:00 PM;54;164;54,7;40;110;20
4/1/2020 7:11 AM;54;150;54;42;75;20
4/1/2020 1:00 PM;58;182;58;40;115;20,5
4/1/2020 7:00 PM;58;172;59,5;40;110;20
4/2/2020 7:00 AM;60;176;61;40;110;20
4/2/2020 11:00 AM;62;186;62;42;110;22
4/2/2020 3:00 PM;55;170;56;40;110;22
4/3/2020 4:11 AM;54;170;54;41;100;21,5
4/3/2020 7:00 AM;58;170;59;41;110;22
4/3/2020 11:00 AM;54;160;55;40;110;20
4/3/2020 3:00 PM;54;160;55;40;110;22
4/4/2020 5:00 AM;57;176;57;41;100;21
4/4/2020 6:26 AM;51;168;51,6;42;110;20
4/4/2020 2:06 PM;58;188;58,5;43;110;21
4/4/2020 7:00 PM;53;170;54;39;110;22
4/5/2020 3:00 AM;53;158;54;40;100;20
4/5/2020 7:00 AM;54;157;54,5;40;110;20
4/5/2020 12:00 PM;56;158;55;41;110;20
4/5/2020 7:00 PM;54;164;55;40;110;22
4/6/2020 3:00 AM;59;188;60;40;100;20
4/6/2020 7:00 AM;56;183;59;39;110;20
4/6/2020 5:00 PM;58;168;60;42;110;20
4/6/2020 6:11 PM;59;168;59,5;40;114;21,8
4/7/2020 3:04 AM;58;176;60,1;41;110;21
4/7/2020 7:00 AM;58;172;58;42;110;21
4/7/2020 3:00 PM;55;164;55;41;110;21
4/7/2020 7:00 PM;54;165;54,4;39;110;20
4/8/2020 5:00 AM;53;158;53,8;41;110;20
4/8/2020 6:42 AM;54;152;54;41;115;20
4/8/2020 4:00 PM;60;180;60;42;115;21,5
4/8/2020 7:00 PM;54;182;57;40;105;20
4/9/2020 5:00 AM;56;160;57;41;110;20
4/9/2020 7:00 AM;55;180;56;42;110;20
4/9/2020 11:00 AM;53;162;54;41;110;20
4/10/2020 3:00 AM;58;184;60;40;110;20
4/10/2020 3:10 AM;54;170;54;43;110;21
4/10/2020 7:00 AM;55;160;55,6;40;110;20
4/10/2020 11:00 AM;55;162;56;39;110;20
4/10/2020 9:00 PM;58;174;58;40;100;21
4/11/2020 5:03 AM;57;176;57;43;115;21
4/11/2020 6:13 AM;54;172;56,1;42;117;21
4/11/2020 1:16 PM;52;162;53,4;40;113;20,8
4/11/2020 7:00 PM;58;190;59;40;110;20
4/12/2020 3:00 AM;58;190;58;40;110;20
4/12/2020 7:00 AM;54;176;56;40;110;20
4/12/2020 5:00 PM;63,8;210;64;39;110;20
4/13/2020 1:01 AM;56;182;56,1;41;110;21
4/13/2020 7:00 AM;54;164;55;40;110;20
4/13/2020 11:00 AM;56;164;57;39;110;20
4/13/2020 3:00 PM;54;160;55;39;110;20
4/13/2020 6:12 PM;58;196;58,7;41;107;21,5
4/14/2020 4:13 AM;54;180;54,8;40;112;21
4/14/2020 7:00 AM;54;190;57;40;100;20
4/14/2020 5:00 PM;61;198;62;42;110;20
4/14/2020 7:00 PM;54;160;55;40;110;21
4/15/2020 3:00 AM;58;200;59;40;110;20
4/15/2020 8:00 AM;51;164;51;41;110;21
4/15/2020 12:00 PM;55;160;55;39;115;21
4/15/2020 7:00 PM;56;180;56,8;38;110;22
4/16/2020 3:11 AM;52;166;52;41;110;21
4/16/2020 7:24 AM;65;178;65;41;110;21,5
4/16/2020 11:25 AM;55;174;55;40;110;21
4/16/2020 7:00 PM;56;170;56;41;110;20
1/12/2020 3:00 PM;60;194;61;41;100;20
1/12/2020 9:00 PM;62;202;63;40;110;20
4/17/2020 5:00 AM;54;160;54,7;40;110;20
4/17/2020 6:27 AM;54;156;54,4;41;113;20
4/17/2020 2:05 PM;54;162;54,6;41;110;21
4/17/2020 7:00 PM;55;168;55;41;115;20
4/18/2020 5:24 AM;54;170;54;40;100;21
4/18/2020 7:09 AM;60;200;60,9;41;103;21
4/18/2020 3:10 PM;54;184;54,6;42;114;21
4/18/2020 7:00 PM;59;200;59;40;110;21
4/19/2020 7:00 AM;56;188;57;41;110;21
4/19/2020 11:00 AM;54;178;55;40;110;22
4/19/2020 12:00 PM;55;176;55;43;110;21
4/19/2020 3:00 PM;64;204;65;40;110;21
4/19/2020 7:00 PM;61;196;61;41;110;21
4/20/2020 5:22 AM;61;188;61;43;110;21
4/20/2020 7:00 AM;54;180;55;40;110;21
4/20/2020 11:00 AM;52;166;53;42;110;22
4/20/2020 3:00 PM;54;172;55;42;110;22
4/20/2020 6:06 PM;60;178;60,5;39;114;21,6
4/21/2020 5:04 AM;64;180;64,6;40;114;21
4/21/2020 7:00 AM;55;182;56;41;110;21
4/21/2020 11:00 AM;55;180;56;38;100;22
4/21/2020 3:00 PM;52;168;53;41;110;22
4/21/2020 6:08 PM;50;156;51,2;39;116;21,9
4/21/2020 10:54 PM;58;190;58,7;40;110;21
4/22/2020 7:00 AM;58;194;58,8;42;110;20
4/22/2020 11:00 AM;58;182;58;41;105;20
4/22/2020 7:00 PM;58;164;59;38;110;22
4/22/2020 11:00 PM;63;204;64;40;110;20
