Número de extracción;Fecha;Numero de compresor en servicio;Presión de succión (kg/cm2);Temperatura de succión (°C);Presión de descarga (kg/cm2);Temperatura de descarga (°C);Presión de aceite (kg/cm2);Presión en tanque recibidor (MPa);Presión de acumulador (MPa);Presión en camisa de votator A (kg/cm2);Presión en camisa de votator B (kg/cm2);Presión en camisa de votator C (MPa);Posición bomba triplex 1 (osc/min);Posición bomba triplex 2 (osc/min);Posición bomba triplex 3 (osc/min)
162;7/26/2020 9:00:00 AM;2;2,5;8;10;58;5,4;10,2;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
162;7/26/2020 9:00:00 AM;4;2;Sin medicion;10,2;Sin medicion;5;0,95;2;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
162;7/26/2020 3:00:00 PM;2;2,6;10;10;60;5,3;10;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
162;7/26/2020 3:00:00 PM;4;2;Sin medicion;10,5;Sin medicion;5;1;2;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
162;7/26/2020 10:00:00 PM;2;2;7;10;60;5,2;1,03;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
162;7/26/2020 10:00:00 PM;4;2,1;Sin medicion;10;Sin medicion;5;0,96;0,5;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
162;7/27/2020 6:30:00 AM;2;2,5;7;9,8;56;5,2;10;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
162;7/27/2020 6:30:00 AM;4;2;Sin medicion;10,2;Sin medicion;5;0,95;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
162;7/27/2020 7:57:49 PM;2;2,4;6;10,6;62;5;1,1;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
162;7/27/2020 7:57:49 PM;4;2,1;Sin medicion;11;Sin medicion;5;0,99;0,25;Sin medicion;Sin medicion;0,25;Sin medicion;Sin medicion;31
163;7/28/2020 11:00:00 AM;2;2,5;7;10;60;5,3;1;0,23;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
163;7/28/2020 11:00:00 AM;4;1,8;Sin medicion;10;Sin medicion;5;0,95;0,5;Sin medicion;Sin medicion;0,4;Sin medicion;Sin medicion;Sin medicion
163;7/28/2020 6:30:00 PM;2;2,5;9;10;59;5,2;10,2;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
163;7/28/2020 6:30:00 PM;4;2;Sin medicion;10,4;Sin medicion;5;0,98;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
163;7/29/2020 1:00:00 AM;2;2,6;8;10;57;5,3;10;2,5;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
163;7/29/2020 1:00:00 AM;4;2;Sin medicion;10,1;Sin medicion;5;0,95;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
163;7/29/2020 6:55:53 AM;2;2,2;6;10,6;60;5;1,2;2,2;0,3;0,3;Sin medicion;30;30;Sin medicion
163;7/29/2020 6:55:53 AM;4;2,3;Sin medicion;10;Sin medicion;5;Sin medicion;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
163;7/29/2020 6:30:00 PM;2;2,6;9;10;60;5,1;10,2;2,5;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
163;7/29/2020 6:30:00 PM;4;2;Sin medicion;10,4;Sin medicion;5;0,97;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
163;7/30/2020 1:00:00 AM;2;2,5;8;10,2;58;5,2;10,4;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
163;7/30/2020 1:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;0,94;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
163;7/30/2020 10:30:00 AM;2;2,6;6;10;60;5;1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
