Número de extracción;Fecha;Numero de compresor en servicio;Presión de succión (kg/cm2);Temperatura de succión (°C);Presión de descarga (kg/cm2);Temperatura de descarga (°C);Presión de aceite (kg/cm2);Presión en tanque recibidor (MPa);Presión de acumulador (MPa);Presión en camisa de votator A (kg/cm2);Presión en camisa de votator B (kg/cm2);Presión en camisa de votator C (MPa);Posición bomba triplex 1 (osc/min);Posición bomba triplex 2 (osc/min);Posición bomba triplex 3 (osc/min)
001;1/3/2020 1:50:00 AM;1;2;7;10;80;5;0,12;0,21;2,8;2,8;Sin medicion;Sin medicion;2;Sin medicion
001;1/3/2020 1:50:00 AM;4;2;Sin medicion;10,5;Sin medicion;5;1;2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
001;1/3/2020 4:40:00 AM;1;1,8;7;9,8;80;4,7;11;0,21;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
001;1/3/2020 4:40:00 AM;4;2,1;Sin medicion;11;Sin medicion;5,3;1;0,24;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
003;1/4/2020 3:27:28 PM;1;1,8;10;9,5;82;5;10,4;2;2,9;2,9;3;30;30;31
003;1/4/2020 3:27:28 PM;4;2,4;Sin medicion;11;Sin medicion;5,5;10,5;2,5;2,9;2,9;3;30;30;31
003;1/4/2020 7:54:01 PM;1;2;8;10;79;5;10,6;2,1;2,9;2,9;3,1;30;30;31
003;1/4/2020 7:54:01 PM;4;2,5;Sin medicion;11;Sin medicion;5,5;10,5;2,2;2,9;2,9;3,1;30;30;31
004;1/5/2020 8:00:00 PM;1;2;7;10;80;5;0,1;0,21;3;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
004;1/5/2020 8:00:00 PM;4;2,1;Sin medicion;10,2;Sin medicion;5,2;1;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
004;1/5/2020 11:24:03 PM;1;2;6;9,8;78;4,5;10,2;2,1;2,9;2,9;3,1;30;30;31
004;1/5/2020 11:24:03 PM;4;2,1;Sin medicion;10,2;Sin medicion;5,2;10;1,9;2,9;2,9;3,1;30;30;31
004;1/6/2020 4:00:32 AM;1;2;6;9,8;78;4,5;10,4;2,1;2,9;2,9;3,1;30;30;31
004;1/6/2020 4:00:32 AM;4;2,4;Sin medicion;10,5;Sin medicion;5,5;10;2,2;2,9;2,9;3,1;30;30;31
004;1/6/2020 4:30:00 PM;1;2;8;80;80;5;0,12;0,21;2,8;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
004;1/6/2020 4:30:00 PM;4;2,5;Sin medicion;11;Sin medicion;5,5;Sin medicion;1,01;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
005;1/6/2020 7:50:00 PM;1;8;8;80;80;4,8;0,1;0,21;2,8;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
005;1/6/2020 7:50:00 PM;4;2,4;Sin medicion;10,4;Sin medicion;5,2;0,1;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
006;1/7/2020 6:30:00 AM;1;2;7;9,2;78;5;0,98;0;3;3;0,3;Sin medicion;Sin medicion;Sin medicion
006;1/7/2020 6:30:00 AM;4;2,4;Sin medicion;10,1;Sin medicion;5,5;0,95;0,24;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion;Sin medicion
006;1/7/2020 8:20:00 PM;1;2;7;10;78;5;0,1;0,21;2,8;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
006;1/7/2020 8:20:00 PM;4;2,1;Sin medicion;10,4;Sin medicion;5,3;1;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
006;1/8/2020 1:00:00 PM;1;2;8;10;78;4,5;0,1;0,21;2,8;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
006;1/8/2020 1:00:00 PM;4;2,4;Sin medicion;10,8;Sin medicion;5,5;1,05;0,22;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
006;1/29/2020 5:00:00 PM;1;2;8;10;78;5,1;10,4;2,3;3;3,1;Sin medicion;Sin medicion;Sin medicion;Sin medicion
006;1/29/2020 5:00:00 PM;4;2,2;Sin medicion;12;Sin medicion;5;105;0,23;Sin medicion;Sin medicion;4,2;Sin medicion;Sin medicion;Sin medicion
007;1/8/2020 8:13:33 PM;1;2;7;10;79;4,5;10,4;2,1;2,9;2,9;3;30;30;31
007;1/8/2020 8:13:33 PM;4;2;Sin medicion;10,5;Sin medicion;5,1;10;1,8;2,9;2,9;3;30;30;31
007;1/9/2020 8:00:00 AM;1;2,2;8;10;80;5;0,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
007;1/9/2020 8:00:00 AM;4;2,4;Sin medicion;0,4;Sin medicion;5,5;Sin medicion;0,22;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
007;1/9/2020 1:30:00 PM;1;2;8;10;80;5;0,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
007;1/9/2020 1:30:00 PM;4;2,1;Sin medicion;11;Sin medicion;5;1,05;2,3;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
007;1/9/2020 3:00:00 PM;1;2;7;10;79;4,5;10,6;2,2;2,8;2,8;3;30;30;31
007;1/9/2020 3:00:00 PM;4;2,1;Sin medicion;10,8;Sin medicion;5,2;10,2;1,8;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;31
008;1/10/2020 4:00:00 AM;1;2;8;10;80;5;0,21;2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
008;1/10/2020 4:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;1;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
008;1/10/2020 7:24:13 AM;1;2;6;9,5;78;4,5;10,2;2,2;2,8;2,8;3;30;30;31
008;1/10/2020 7:24:13 AM;4;2,4;Sin medicion;10,2;Sin medicion;5,4;10;2;2,8;2,8;3;30;30;31
008;1/10/2020 10:45:25 AM;1;2;7;10;79;4,5;10,4;2,2;2,8;2,8;3;30;30;31
008;1/10/2020 10:45:25 AM;4;2,1;Sin medicion;10,8;Sin medicion;5,2;10,2;1,8;2,8;2,8;3;30;30;31
009;1/11/2020 4:00:00 AM;1;2;8;9,8;78;5;0,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
009;1/11/2020 4:00:00 AM;4;2,4;Sin medicion;10,1;Sin medicion;5,3;1;0,21;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
009;1/11/2020 7:08:19 AM;1;2;7;9,5;78;4,5;10,2;2,2;2,8;2,8;3;30;30;31
009;1/11/2020 7:08:19 AM;4;2;Sin medicion;10;Sin medicion;5,2;10;1,8;2,8;2,8;3;38;30;31
010;1/12/2020 2:57:32 AM;1;1,9;7;9;78;4,5;10,2;2,1;20,5;2,8;3;30;30;31
010;1/12/2020 2:57:32 AM;4;2;Sin medicion;10;Sin medicion;5,2;9,6;1,8;2,8;2,8;3;30;30;31
012;1/14/2020 3:00:00 PM;1;2;8;10;80;5;0,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
012;1/14/2020 3:00:00 PM;4;10,3;Sin medicion;1,8;Sin medicion;5;1,03;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
013;1/15/2020 3:00:00 PM;1;2;8;10;80;4,5;0,1;2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
013;1/15/2020 3:00:00 PM;4;1,8;Sin medicion;10,5;Sin medicion;5;1,1;0,15;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
014;1/16/2020 11:00:00 AM;1;2;8;10;8;5;0,1;0,2;2,8;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
014;1/16/2020 11:00:00 AM;4;2;Sin medicion;10,3;Sin medicion;5;0,1;0,33;3;Sin medicion;0,38;Sin medicion;Sin medicion;Sin medicion
014;1/16/2020 4:26:43 PM;1;1,8;7;10;78;4,5;10,6;2,1;2,9;2,9;3,1;30;30;31
014;1/16/2020 4:26:43 PM;4;2,2;Sin medicion;11;Sin medicion;5,2;10,5;1,9;2,9;2,9;3,1;30;30;31
014;1/17/2020 6:50:00 AM;1;2;6;9;78;5;Sin medicion;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
014;1/17/2020 6:50:00 AM;4;2,5;Sin medicion;10,2;Sin medicion;5,5;Sin medicion;0,22;Sin medicion;Sin medicion;0,25;Sin medicion;Sin medicion;Sin medicion
015;1/17/2020 4:00:00 PM;1;2;7;10;80;4,5;10,6;2,1;2,9;2,9;3,2;30;30;31
015;1/17/2020 4:00:00 PM;4;2,2;Sin medicion;11;Sin medicion;5,2;10,5;3,2;2,9;2,9;3,2;30;30;31
015;1/17/2020 11:00:00 PM;1;2,1;8;10;75;5;10,5;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
015;1/17/2020 11:00:00 PM;3;2,4;Sin medicion;10,4;Sin medicion;4,8;1;3,8;Sin medicion;Sin medicion;3,8;Sin medicion;Sin medicion;Sin medicion
015;1/18/2020 3:00:00 AM;1;2,1;6;10;75;5;10,4;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
015;1/18/2020 3:00:00 AM;4;2,4;Sin medicion;10,8;Sin medicion;5,3;1,03;3,6;Sin medicion;Sin medicion;4,5;Sin medicion;Sin medicion;Sin medicion
015;1/18/2020 7:00:00 AM;1;2;5;10;80;5;0,1;Sin medicion;Sin medicion;Sin medicion;Sin medicion;Sin medicion;Sin medicion;Sin medicion
015;1/18/2020 7:00:00 AM;4;2,1;Sin medicion;10,8;Sin medicion;5,2;1,1;0,37;Sin medicion;Sin medicion;0,45;Sin medicion;Sin medicion;Sin medicion
016;1/19/2020 1:00:00 AM;1;2;6;10;80;5;0,11;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
016;1/19/2020 1:00:00 AM;4;1,5;Sin medicion;10;Sin medicion;4,7;1;0,13;Sin medicion;Sin medicion;0,34;Sin medicion;Sin medicion;Sin medicion
016;1/19/2020 7:43:57 AM;1;2;6;10;78;5;10,6;2,1;2,9;2,9;3,2;30;30;31
016;1/19/2020 7:43:57 AM;4;2,5;Sin medicion;10,9;Sin medicion;5,6;10,3;2,2;2,9;2,9;3,2;30;30;31
017;1/19/2020 11:00:00 PM;1;2,2;8;10,6;78;5;1,1;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
017;1/19/2020 11:00:00 PM;4;1,6;Sin medicion;10,5;Sin medicion;4,7;1;1,6;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
017;1/20/2020 3:00:00 AM;1;2;6;10,3;76;5;10,8;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
017;1/20/2020 3:00:00 AM;4;2,2;Sin medicion;10,5;Sin medicion;5,2;1;3;Sin medicion;Sin medicion;2,1;Sin medicion;Sin medicion;Sin medicion
017;1/20/2020 7:06:47 AM;1;2;7;10;78;4,5;10,6;2,2;2,9;2,9;3,1;30;30;31
017;1/20/2020 7:06:47 AM;4;2,5;Sin medicion;11;Sin medicion;5,2;11;3,2;2,9;2,9;3,2;30;30;31
017;1/20/2020 9:00:00 PM;1;2;7;9,8;80;5;Sin medicion;0,2;3;3;Sin medicion;19,5;Sin medicion;Sin medicion
017;1/20/2020 9:00:00 PM;4;2;Sin medicion;10,2;Sin medicion;5;1;0,33;3,4;Sin medicion;Sin medicion;Sin medicion;Sin medicion;Sin medicion
018;1/21/2020 2:00:48 AM;1;1,8;6;9,8;78;5;10,2;2,1;2,8;2,8;3;30;30;30
018;1/21/2020 2:00:48 AM;4;9,5;Sin medicion;1;Sin medicion;4,5;1,2;9,8;2,8;2,8;3;30;30;30
019;1/22/2020 2:41:36 AM;1;1,9;7;9,8;78;4,5;10,2;2,1;2,8;2,8;4,5;30;30;31
019;1/22/2020 2:41:36 AM;4;2,1;Sin medicion;10;Sin medicion;5,2;9,5;2,5;2,8;2,8;4,5;30;30;31
019;1/22/2020 2:30:00 PM;1;2,1;7;10,4;78;5;10,8;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
019;1/22/2020 2:30:00 PM;4;2,1;Sin medicion;10,4;Sin medicion;5,1;1;2,4;Sin medicion;Sin medicion;4,3;Sin medicion;Sin medicion;Sin medicion
019;1/22/2020 7:00:00 PM;1;2,1;6;10,2;76;5;10,6;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
019;1/22/2020 7:00:00 PM;4;2,1;Sin medicion;10,3;Sin medicion;5,1;1;2,4;Sin medicion;Sin medicion;4,3;Sin medicion;Sin medicion;25
020;1/23/2020 11:40:00 AM;1;2,2;8;10;78;5;1,02;0,22;3,1;3,1;Sin medicion;Sin medicion;Sin medicion;Sin medicion
020;1/23/2020 11:40:00 AM;4;2,1;Sin medicion;10,8;Sin medicion;5;1,03;2,2;Sin medicion;Sin medicion;45;Sin medicion;Sin medicion;Sin medicion
020;1/23/2020 2:00:00 PM;1;2,2;8;10,6;78;5,2;1,1;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
020;1/23/2020 2:00:00 PM;4;2,1;Sin medicion;10,5;Sin medicion;5,1;1,01;2,3;Sin medicion;Sin medicion;4,2;Sin medicion;Sin medicion;Sin medicion
020;1/23/2020 7:30:00 PM;1;2;6;10,3;76;5;10,8;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
020;1/23/2020 7:30:00 PM;4;2,1;Sin medicion;10,3;Sin medicion;5,1;1;2,3;Sin medicion;Sin medicion;4,2;Sin medicion;Sin medicion;Sin medicion
021;1/24/2020 8:00:00 AM;1;2;5;9,8;74;5;10,2;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
021;1/24/2020 8:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;0,95;2,1;Sin medicion;Sin medicion;4,2;Sin medicion;Sin medicion;24
021;1/24/2020 11:30:00 AM;1;2,1;7;10,8;76;5,2;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
021;1/24/2020 11:30:00 AM;4;2,1;Sin medicion;10,4;Sin medicion;5,1;1;2,2;Sin medicion;Sin medicion;4,2;Sin medicion;Sin medicion;Sin medicion
021;1/24/2020 2:57:35 PM;1;2;8;10;78;4,5;11;2,2;2,9;2,9;4,4;30;30;31
021;1/24/2020 2:57:35 PM;4;2,1;Sin medicion;10,8;Sin medicion;5,2;10,2;2,3;2,9;2,9;4,4;30;30;31
021;1/25/2020 3:00:00 AM;1;2;6;10;80;5;0,1;0,21;2,8;3;Sin medicion;19,5;Sin medicion;Sin medicion
021;1/25/2020 3:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;0,95;0,21;Sin medicion;Sin medicion;0,45;Sin medicion;Sin medicion;Sin medicion
022;1/25/2020 8:00:00 AM;1;2;5;10;75;5;10,4;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
022;1/25/2020 8:00:00 AM;4;2;Sin medicion;10,3;Sin medicion;5;0,98;2,2;Sin medicion;Sin medicion;4,2;Sin medicion;Sin medicion;Sin medicion
022;1/25/2020 11:00:00 AM;1;2,2;7;10,4;77;5,2;11;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
022;1/25/2020 11:00:00 AM;4;2,1;Sin medicion;10,5;Sin medicion;5,1;1;2,2;Sin medicion;Sin medicion;4,2;Sin medicion;Sin medicion;Sin medicion
022;1/25/2020 3:35:29 PM;1;2,2;7;10,5;78;5;11;2,4;2,9;2,9;4,5;30;30;31
022;1/25/2020 3:35:29 PM;4;2;Sin medicion;10,8;Sin medicion;5,1;10,2;2;2,9;2,9;4,5;30;30;31
022;1/25/2020 10:00:00 PM;1;2,2;6;10,4;76;5,2;10,8;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
022;1/25/2020 10:00:00 PM;4;1,8;Sin medicion;10,2;Sin medicion;4,9;0,97;1,9;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
022;1/26/2020 3:00:00 AM;1;2,1;5;10,1;75;5;10,5;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
022;1/26/2020 3:00:00 AM;4;1,8;Sin medicion;10;Sin medicion;4,8;0,95;1,9;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
023;1/26/2020 7:57:50 AM;1;2;6;9,8;75;4,5;10,2;2,2;2,8;2,8;4,5;30;30;31
023;1/26/2020 7:57:50 AM;4;1,8;Sin medicion;9,9;Sin medicion;4,9;9,6;1,7;2,8;2,8;4,5;30;30;31
023;1/26/2020 11:00:00 PM;1;2,3;8;10,2;78;5,3;10,6;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
023;1/26/2020 11:00:00 PM;4;1,8;Sin medicion;10,2;Sin medicion;4,8;0,96;1,9;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
023;1/27/2020 3:00:00 AM;1;2,2;6;10;76;5,1;10,5;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
023;1/27/2020 3:00:00 AM;4;1,8;Sin medicion;10;Sin medicion;4,8;0,95;1,8;Sin medicion;Sin medicion;4,3;Sin medicion;Sin medicion;Sin medicion
024;1/27/2020 10:45:45 AM;1;2,1;5;10;75;4,5;10,4;2,2;2,9;2,9;4,5;30;30;31
024;1/27/2020 10:45:45 AM;4;2,5;Sin medicion;11;Sin medicion;5,2;10;2,2;2,9;2,9;4,5;30;30;31
024;1/27/2020 11:00:00 PM;1;2,2;6;10,2;76;5,2;10,6;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
024;1/27/2020 11:00:00 PM;4;1,8;Sin medicion;10,3;Sin medicion;4,8;0,97;1,9;Sin medicion;Sin medicion;4,3;Sin medicion;Sin medicion;Sin medicion
024;1/28/2020 3:00:00 AM;1;2,1;5;10;75;5;10,4;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
024;1/28/2020 3:00:00 AM;4;1,8;Sin medicion;10;Sin medicion;4,8;0,95;1,9;Sin medicion;Sin medicion;4,3;Sin medicion;Sin medicion;Sin medicion
025;1/28/2020 11:58:30 PM;1;1,8;7;10;78;4,5;10,6;2,2;2,8;2,8;4,5;30;30;31
025;1/28/2020 11:58:30 PM;4;2;Sin medicion;11;Sin medicion;5,2;10;2,2;2,8;2,8;4,5;30;30;31
026;1/29/2020 11:46:52 PM;1;2,1;7;10;80;5;10,6;2,2;2,8;2,8;4,5;30;30;31
026;1/29/2020 11:46:52 PM;4;2;Sin medicion;10;Sin medicion;5,2;11;2,2;2,8;2,8;4,5;30;30;31
027;1/30/2020 3:30:00 PM;1;2,3;8;10,4;78;5;10,8;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
027;1/30/2020 3:30:00 PM;4;1,9;Sin medicion;10,4;Sin medicion;4,9;1;2;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
027;1/30/2020 7:00:00 PM;1;2,2;7;10,4;76;5;10,8;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
027;1/30/2020 7:00:00 PM;4;1,9;Sin medicion;10,3;Sin medicion;4,8;1;2;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
027;1/31/2020 8:00:00 AM;1;2;7;10;80;5;0,11;0,21;2,8;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
027;1/31/2020 8:00:00 AM;4;1,8;Sin medicion;10;Sin medicion;4,8;0,95;1,5;Sin medicion;Sin medicion;0,45;Sin medicion;Sin medicion;Sin medicion
027;1/31/2020 3:00:00 PM;1;2,2;8;10,4;78;5;10,8;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
027;1/31/2020 3:00:00 PM;4;1,9;Sin medicion;10,5;Sin medicion;4,9;1;2,1;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
028;1/31/2020 7:00:00 PM;1;2,1;7;10,2;76;5;10,6;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
028;1/31/2020 7:00:00 PM;4;1,9;Sin medicion;10,3;Sin medicion;4,9;1;2,1;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
028;2/1/2020 7:00:00 AM;1;2,1;6;10,1;75;5;10,5;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
028;2/1/2020 7:00:00 AM;4;1,8;Sin medicion;10,2;Sin medicion;4,8;0,97;2;Sin medicion;Sin medicion;4,3;Sin medicion;Sin medicion;Sin medicion
028;2/1/2020 11:00:00 AM;1;2,2;8;10,4;78;5;10,8;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
028;2/1/2020 11:00:00 AM;4;1,9;Sin medicion;10,4;Sin medicion;4,9;1;Sin medicion;Sin medicion;Sin medicion;2,1;Sin medicion;Sin medicion;Sin medicion
029;2/2/2020 2:00:00 AM;1;2;8;10;78;4,8;0,1;2,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
029;2/2/2020 2:00:00 AM;4;2;Sin medicion;10,3;Sin medicion;5;1;2;Sin medicion;Sin medicion;4,5;Sin medicion;Sin medicion;Sin medicion
029;2/2/2020 7:00:00 AM;1;2,1;6;10,2;76;5;10,6;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
029;2/2/2020 7:00:00 AM;4;1,8;Sin medicion;10,3;Sin medicion;4,8;0,98;2,1;Sin medicion;Sin medicion;4,3;Sin medicion;Sin medicion;Sin medicion
029;2/2/2020 11:00:00 AM;1;2,2;8;10,5;79;5,2;10,8;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
029;2/2/2020 11:00:00 AM;4;2;Sin medicion;10,5;Sin medicion;5;1;2,2;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
029;2/2/2020 3:00:00 PM;1;1,9;7;10;80;5;10,6;2,2;2,9;2,9;4,5;30;30;31
029;2/2/2020 3:00:00 PM;4;2,2;Sin medicion;11;Sin medicion;5,2;11;2,1;2,9;2,9;4,5;30;30;31
030;2/3/2020 2:00:00 AM;1;2;8;7;78;5;0,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
030;2/3/2020 2:00:00 AM;4;1,3;Sin medicion;10;Sin medicion;5;0,92;1,07;Sin medicion;Sin medicion;4,5;Sin medicion;Sin medicion;Sin medicion
030;2/3/2020 6:15:00 AM;1;2;4;9,6;74;4,8;10;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
030;2/3/2020 6:15:00 AM;4;1,5;Sin medicion;9,5;Sin medicion;4,6;0,9;1,6;Sin medicion;Sin medicion;4,3;Sin medicion;Sin medicion;Sin medicion
030;2/3/2020 11:30:00 AM;1;2,2;7;10,2;76;5;10,6;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
030;2/3/2020 11:30:00 AM;4;1,8;Sin medicion;10,3;Sin medicion;4,8;0,98;1,9;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
030;2/3/2020 5:58:44 PM;1;1,8;7;10;78;4,5;10,6;2,2;2,8;2,8;4,5;30;30;31
030;2/3/2020 5:58:44 PM;4;2,4;Sin medicion;10,8;Sin medicion;5;10,8;2,3;2,8;2,8;4,5;30;30;31
030;2/3/2020 10:30:00 PM;1;2,1;5;9,8;76;5;10,2;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
030;2/3/2020 10:30:00 PM;4;1,7;Sin medicion;10,2;Sin medicion;4,7;0,97;1,9;Sin medicion;Sin medicion;4,3;Sin medicion;Sin medicion;Sin medicion
031;2/4/2020 3:00:00 AM;1;2;4;9,6;75;4,8;10;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
031;2/4/2020 3:00:00 AM;4;1,6;Sin medicion;10;Sin medicion;4,6;0,95;1,8;Sin medicion;Sin medicion;4,3;Sin medicion;Sin medicion;Sin medicion
031;2/4/2020 6:19:33 AM;1;2;5;9,3;74;4,5;10;2,2;2,8;2,8;4,5;30;30;31
031;2/4/2020 6:19:33 AM;4;1,6;Sin medicion;9,5;Sin medicion;4,9;9,5;1,6;2,8;2,8;4,5;30;30;31
031;2/4/2020 10:30:00 PM;1;2,1;6;10;76;5;10,4;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
031;2/4/2020 10:30:00 PM;4;1,7;Sin medicion;10,2;Sin medicion;4,7;0,97;1,9;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
032;2/5/2020 6:57:16 AM;4;1,5;Sin medicion;9;Sin medicion;4,8;8,5;1,9;2,9;2,9;4,5;30;3;31
032;2/5/2020 7:06:22 AM;1;2;5;9,2;74;5;10;2,2;2,9;2,9;4,5;30;30;31
033;2/7/2020 1:40:49 AM;1;2;5;9,8;74;5;10;2,2;2,9;2,9;4,5;30;30;31
033;2/7/2020 1:40:49 AM;4;1,6;Sin medicion;9,2;Sin medicion;4,5;2;9;2,9;2,9;4,5;30;30;31
033;2/7/2020 3:00:00 PM;1;2;7;10,2;78;5;10,6;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
033;2/7/2020 3:00:00 PM;4;1,7;Sin medicion;10,5;Sin medicion;4,7;1;1,9;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
033;2/7/2020 7:00:00 PM;1;2,1;6;10;76;5;10,4;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
033;2/7/2020 7:00:00 PM;4;1,7;Sin medicion;10,3;Sin medicion;4,7;0,97;1,9;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
034;2/8/2020 10:18:00 AM;1;2;8;10;79;5;0,1;2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
034;2/8/2020 10:18:00 AM;4;1,8;Sin medicion;10,3;Sin medicion;5,1;1;1,8;Sin medicion;Sin medicion;0,45;Sin medicion;Sin medicion;Sin medicion
034;2/8/2020 2:30:00 PM;1;2,1;8;10,2;78;5;10,7;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
034;2/8/2020 2:30:00 PM;4;1,8;Sin medicion;10,5;Sin medicion;4,8;1;2;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
034;2/8/2020 7:00:00 PM;1;2,1;6;10;76;5;10,4;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
034;2/8/2020 7:00:00 PM;4;1,7;Sin medicion;10,3;Sin medicion;4,7;0,98;1,8;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
035;2/9/2020 6:30:00 AM;1;2;4;9,6;74;5;10;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
035;2/9/2020 6:30:00 AM;4;1,6;Sin medicion;10,1;Sin medicion;4,6;0,95;1,8;Sin medicion;Sin medicion;4,3;Sin medicion;Sin medicion;Sin medicion
